sentiment,review
positive,temmilega scary mynd. kúl zombie thriller. þetta er s.s. myndin sem quarantine er byggð á... nettur blairwitch project og cloverfield fílingur þar sem maður sér þetta bara í gegnum eina myndavél sem camera gaurinn hjá fréttastofunni heldur á.
negative,sérstök mynd. mikill indie bragur enda kostaði bara  að búa hana til. eins og svo oft með sjónvarpsþættikvikmyndir þar sem er verið að ferðast afturfram í tíma þá er myndin svona nett ruglingsleg á köflum... þetta graf útskýrir smá en samt eru vissir hlutir þar sem maður er ekki alveg viss hvað gerðist. en vissulega áhugaverðar pælingar og skemmtilegt að sjá mynd sem er gerð fyrir svona lítinn pening...
positive,"töff mynd. mjög flott. nóg af ofbeldi  ekkert verið að skafa af því, nóg af blóði og maður heyrði hvert bein brotna."
positive,"mjög kúl mynd  þetta er s.s. nokkurs konar heimildamynd um soulwax. virkilega flott  mikið vision... nett cinematography í gangi. kick ass tónlist  ekki oft sem maður er hálf dansandi þegar maður er að horfa á kvikmynd ; að vissu leyti svipuð og justice heimildamyndin en töluvert öðruvísi  tekin upp á mun lengri tíma og ekki alveg jafn mikil geðveiki, en þó samt rokkstjörnufílingur í gangi með groupies í tour busnum og allt það... myndin var líka töluvert vandaðari  vel klippt. klippur af tónleikum út um allan heim. inn á milli eru viðtöl við þá og vini þeirra. skemmtilegt að sjá að þeir voru alltaf að drekka stella  það kemur náttúrulega ekkert annað til greina en belgískur bjór."
positive,ágæt mynd. nóg af flottum tæknibrellum. svolítið spes á köflum  spes pælingar. nett dramatísk í lokinn  en það fylgir víst... það sem stóð upp úr voru flottar og íburðamiklar tæknibrellur  löng og ítarleg action atriði...
positive,"maður er búinn að bíða eftir þessari mynd frekar lengi  það var alltaf einhver orðrómur um að það ætti að fara búa hana til, síðan var eitthvað vesen... en það hafðist loksins. það er svolítið sérstakt að fara á mynd sem er byggð á bók og maður er búinn að lesa bókina  ekki oft sem það gerist. reyndar svolítið langt síðan ég las bókina en ég held að þeir hafi fylgt henni nokkuð vel. mjög fyndin mynd  en frekar twisted húmor eins og er oft hjá chuck palahniuk. mjög skrautlegir karakterar að hætti chuck. sagan er svolítið sérstök  svolítið out there á köflum  en skemmtileg."
positive,rugl brútal mynd! kolruglað lið  og þetta er byggt á sannsögulegum atburðum. fjallar um gaura sem byrja sem brjálaðar fótboltabullur sem skalla mann og annan og verða síðan hardcore drug gangstas.
positive,ágætlega fyndin. nóg af þekktum leikurum...  ágæt afþreying.
positive,góð mynd. áhugaverðar pælingar um lífið og tilveruna... flott myndataka. góðir leikarar. nokkuð mögnuð saga þetta er s.s. sönn saga.
positive,"góð spennumynd. ekta thriller. virkilega spennandi  maður var oft alveg á nálum, bókstaflega on the edge of my seat. vel leikin  fullt af góðum leikurum. gott handrit  svona myndir sem eru ekki stútfullar af flottum tæknibrellum og endalausum action atriðum þurfa að hafa vel skrifað handrit. gaman að sjá jason bateman í svona wacky hlutverkum :"
positive,"vá, þetta er klikkuð mynd  eins og í fyrri myndinni er bara stanslaus keyrsla allan tíman  endalaus adrenalín rússíbanaferð. virkilega fyndin. mögnuð myndataka og hröðustu klippingar sem maður hefur séð síðan... ja, crank . temmilega súr og random á köflum  en það er bara fyndið... mjög brútal, stanslaust ofbeldi. jason statham er náttúrulega bara töffari. þessi mynd er svolítið sér á báti  ýmislegt sem kom mér á óvart og sem ég býst ekki við að sjá í annarri bíómynd á næstunni. skemmtilega frumleg að því leyti."
positive,"klikkuð mynd. súr, fyndin, vandræðaleg, brútal og frekar random á köflum. mjög sérstök grínmynd. klikkaðir karakterar. ég var sérstaklega að fíla gaurinn sem michael pea lék dennis."
positive,"virkilega flott mynd. stútfull af klikkað flottum tæknibrellum  alveg óaðfinnanlegar. mjög spennandi, góð action keyrsla. mjög fyndin á köflum  simon pegg klikkar ekki. góð saga, góðir leikarar... góð mynd. ekta risastór sumar blockbuster."
positive,"áhugaverð kvikmynd um escort stelpu... mjög artyindie gerð fyrir .m  svolítið sérstök mynd þar sem soderbergh notaði eiginlega bara náttúrulega lýsingu allan tímann, setti svolítið öðruvísi svip á myndina. hún var líka tekin upp með redone myndavélinni sem er fáránlega kúl græja. síðan skemmir ekki að myndin gerist í new york ; smá fróðleiksmoli: sasha gray, sem leikur aðalhlutverkið, er víst actually klámstjarna..."
positive,hörku spenna. fínasta action  sprengingar og byssubardagar... alltaf í kapp við tímann. gaman af svona spennumyndum þar sem er verið að leysa ráðgátu með því að leita að vísbendingum hér og þar. ég var reyndar búinn að lesa bókina en það er svo langt síðan að ég mundi ekki öll plottin nákvæmlega  þannig að það skemmdi ekkert mikið fyrir. myndin leit mjög vel út  mjög vönduð. líka topp leikarar.
positive,mjög fyndin mynd. nokkuð steiktur húmor. nett feelgood mynd... skemmtilegir karakterar. skemmtileg saga.
negative,"hreint út sagt stórkostlegt kvikmyndalistaverk! neh... frekar slöpp. leikarar voru engan veginn að standa sig, handritið var wack og ekki mikið í gangi til að hjálpa þessari mynd... þetta er meira svona bmynd sem maður horfir á til að hlæja að."
positive,"kúl mynd. góður thriller. flott myndataka. spennandi saga. byggt á bók eftir elmore leonard eins og jackie brown, out of sight og aðrar góðar myndir."
positive,"klikkað fyndin mynd! það er snilld hvað þeir lenda í miklu rugli. fær mann til að langa fara á fyllerí í las vegas sem allra fyrst ; zach galifianakis er náttúrulega snillingur  hann lék lang fyndnustu persónuna. síðan hef ég aldrei hlegið jafn mikið yfir credit lista  bara rugl, kom mjög skemmtilega á óvart. maður grenjaði af hlátri. það hefði jafnvel verið ennþá skemmtilegra ef maður hefði ekki séð trailerinn áður  hann var náttúrulega sprenghlægilegur."
negative,frekar silly mynd. ágætlega fyndin á köflum. slatti af cameos.
positive,"mjög dark mynd  skuggalegur thriller... tékkaði á þessu aðallega þar sem ég tók eftir að jonas kerlund leikstýrði henni  gaurinn sem leikstýrði smack my bitch up tónlistarmyndbandinu og spun, en það voru nú engar þannig crazy klippingar í þessari mynd. engin snilld, en ágætlega spennandi, náði samt aldrei almennilega flugi..."
positive,"já... þú segir það. ágæt heilalaus afþreying. söguþráðurinn var kannski ekki upp á marga fiska, vantaði alla vega eitthvað efni til að grípa mann. en myndin leit klárlega vel út og endalaust eytt í stunt atriði, tæknibrellur o.s.frv.  style over substance á líklega vel við. það var vissulega nóg af explosions a la michael bay ; fínasta summer blockbuster spennumynd ef maður hugsaði ekki alltof mikið með nóg af sprengingum, byssubardögum og vélmönnum að slást ...og megan fox í slow motion, það þarf ekkert að ræða það frekar. en það fór svona nett í taugarnar á mér að þeir voru að hafa með nokkur svona sidekick vélmenni  vélmenni með alltof mikið af hallærislegum oneliners sem voru oftast frekar lítið fyndnir. það hefði klárlega mátt leggja meiri vinnu í handritið, það hefði bætt myndina töluvert."
positive,dramatísk mynd alveg í gegn... fær mann ekki beint til að langa verða atvinnu glímukappi. vönduð mynd.
positive,"vá, þetta var einn stór kjánahrollur. en sjokkerandi fyndið. mér finnst magnað að hann og crewið hafi ekki verið drepið  það munaði örugglega ekki miklu á köflum. markmiðið hjá sacha baron cohen var náttúrulega að ganga fram af fólki og hann gerði það svo sannarlega  þetta var algjörlega extreme. þetta var rugl... maður er eiginlega ennþá í sjokki. myndin fór yfir strikið fyrstu mínútuna og leit ekki aftur. svolítið sérstakt að vera hneykslast og hlæja á sama tíma  eiginlega allan tímann."
positive,"fín mynd. drama með fisléttu gríni. áhugaverðar persónur. góðir leikarar. skemmtileg samböndtengsl. ég fór að spá í að gaurinn er nýkominn úr fangelsi og á ekki í vandræðum með að eignast nýja vini, gott hjá honum...  annars hefði myndin verið helst lítið spennandi ;"
positive,"rugl fyndin mynd. frá gaurunum úr the whitest kids u know þeir skrifuðu handritið, leikstýrðu og léku aðalhlutverkin  mjög svipaður húmor og er í sketsunum þeirra. algjört bull og vitleysa  en sprenghlægilegt á köflum."
positive,"mjög góð mynd  vel gerð, vönduð. dúndrandi spenna og flott action  temmilega stressandi starf að aftengja sprengjur í írak, alltaf upp á líf og dauða. slatti af kúl sprengingum. góð keyrsla. klassísk hermynd að ýmsu leyti..."
positive,nettur thriller í gangi. ágæt saga... samt svolítið spes. slatti af drama.
positive,"klikkað scary mynd  algjör psycho thriller sem heldur manni á nálum mest allan tímann, mögnuð spenna. hrollvekja dauðans. alltaf áhugavert að sjá kvikmyndir með svona fáum leikurum."
positive,"hörkugóð mynd. fínasta spenna og gott action. en nokkuð brútal á köflum. flott myndataka, leit vel út. vönduð mynd. góðir leikarar. áhugaverð saga  gaman að svona rannsóknarspennumyndum þar sem er verið að púsla saman vísbendingum. bíð spenntur eftir næstu mynd í þessum þríleik. gaman að sjá svona ferskar kvikmyndir frá norðurlöndunum."
positive,"temmilega twisted mynd. eiginlega bara fucked up. gaurarnir tveir voru algjörlega psycho  leikararnir pössuðu mjög vel í hlutverkin. áhugaverð mynd að vissu leyti  en mjög spes, ýmislegt óvenjulegt við hana. ofbeldið er dregið á langinn og manni haldið í spennu... nokkur kímleg atriði en maður gat varla hlegið. antifeelgood mynd. en hún var vönduð, leikararnir voru alveg að skila sínu  maður fann til með fórnarlömbunum  og hún leit vel út. oft voru stórir hlutar af umhverfinu skjannahvítir sem gerði stemmninguna ennþá meira psycho."
positive,"mjög kúl mynd. michael mann kann sko að gera action myndir  klikkaðir byssubardagar. það voru líka svo fáránlega kúl hljóð í byssuskotunum  ótrúlegur bassi, það titraði allt á köflum. virkilega flott mynd og glæsileg myndataka. greinilega mikið lagt í umhverfi, búninga o.s.frv. til að passa við þetta tímabil  kom vel út.  ég geri ráð fyrir að myndin hafi verið tekin upp stafrænt og það setti svolítið sérstakan brag á hana. hún var svolítið hrá á köflum og smá dogma stemmning þannig séð að það var eins og það væri eiginlega bara notast við náttúrulegatiltæka birtu. það gerði að stundum var eins og maður væri að horfa á heimildamynd, sem gerði hana svolítið raunverulegri. topp leikarar  johnny depp og christian bale eru náttúrulega með bestu leikurum sem eru í gangi núna. spennandi saga og skemmtilegir eltingaleikir."
positive,mjög fyndin mynd. létt grín.
positive,"þessi mynd var nokkurn veginn eins og ég bjóst við  þunnt handrit, enginn framúrskarandi leikur og bara keyrt áfram á fullt af tæknibrellum og sprengingum. slatti af þekktum andlitum. megnið af myndinni var í rauninni tölvugrafík og þar sem þeir voru að gera svona mikið út á tölvugrafík og tæknibrellur þá fannst mér hálf lélegt þegar það var of augljóst að þetta var tölvugrafík  var ekki nógu eðlilegt hreyfingar, litur.... það var slatti af kjánalegum línum og atriðum. en ágætis afþreying. ágætlega kúl á köflum, fín bardagaatriði."
positive,"damn, þetta var rugl scary mynd. hélt manni sko á nálum, eiginlega allan tímann. nettur adrenalín rússíbani. gott action líka. virkilega góð hryllingsmynd, vel gerð. hún var líka nett ógeðsleg, nasty stuff..."
positive,"virkilega góð mynd. michael mann er snillingur, kann virkilega að meta það sem hann gerir. örugglega í svona .. skiptið sem ég horfi á þessa mynd en eftir stutta leit í þessum kvikmyndagagnagrunni sem ég er með hérna fann ég ekki gagnrýni fyrir collateral. erfitt að skjóta stjörnum á þetta, hefði pottþétt gefið henni  ef ég væri að sjá hana í fyrsta skipti í bíó en þetta var bara á rúv og ekkert að blasta neitt heimabíókerfi... en já, klassa mynd. góðir leikarar. gott handrit. virkilega kúl action atriði. flott myndataka  svipað og í public enemies, skotið digital, notuð náttúrulegeðlileg lýsing það sem er til staðar, steadicam... gott stöff. eða hvað, ætti ég bara að setja  stjörnur á þetta? jú, fuck it."
positive,"kúl mynd. denzel og tony scott eru yfirleitt góðir saman. en þetta er ekki besta mynd þeirra  frekar týpísk, fyrirsjáanleg hollywood formúlumynd. en maður hefur alltaf lúmskt gaman af new york myndum."
positive,"mjög kúl mynd. skemmtilegar og áhugaverðar persónur. christoph waltz sló í gegn sem ss gaurinn hans the jew hunter landa. góð saga, gott handrit  eins og tarantino er lagið. gott action og nokkuð fyndin á köflum. en vá hvað ég þoli ekki gulan texta e. subtitle á bíómyndum  það er alveg vonlaust að lesa hann þegar það er ljós bakgrunnur og svo er honum varpað með skjávarpa eða eitthvað þannig að það kemur svona daufur kassi yfir alla myndina. þá kýs ég frekar hvítan eða gráan texta með svörtum border."
positive,"kúl splatter. mjög góð mynd, góð spenna í gangi. slatti af svörtum húmor... nokkuð vel leikin  mikið af skrautlegum persónum. leit vel út  flott umgjörð. alltaf skemmtilegt að horfa á vandaðar íslenskar myndir."
positive,"klikkað spennandi mynd! mögnuð mynd. mjög góð. vel gerð, vönduð. gott handrit. góð keyrsla. góðir leikarar. ef maður tekur mark á þessari mynd og funny games u.s. þá er ekkert sniðugt að eiga sumarhús við stöðuvatn lengst frá öllu ; mér finnst frekar magnað að þessi mynd var tekin upp í suðurafríku, hefði aldrei dottið það í hug. man ekki eftir annarri hollywood mynd sem er tekin upp í suðurafríku."
positive,fyndin vitleysa. sýnir nokkuð vel hvað pólitík er mikið bull ;
negative,"slatti af þekktum leikurum. drama alveg í gegn. minnti mig örlítið á crash  mikið af mismunandi sögum í gangi, gerist í la... en alls ekki jafn góð. í fyrri helmingnum var eins og það var verið að byggja upp geðveika sögu, vinna í karakterum... en síðan datt bara botninn úr þessu  endirinn var frekar slappur. ekki gott handrit  það var kannski einhver góð pæling í þessu en það var ekki unnið nógu vel úr hugmyndinni. jessica biel sem strippari var ekki nóg til að bjarga þessari mynd."
negative,"krakkar svona nett í ruglinu. frá larry clark, sem gerði líka kids  svipað þema, svipaðar persónur... nettur indielow budget bragur..."
negative,mjög hæg mynd. arty  eða svona indieminimal... fjallar um ira gaura í fangelsi  sem fara svo í hungurverkfall. nokkuð áhugaverð... nokkrar langar tökur sem voru frekar impressive.
positive,"mjög góð mynd. voða ljúf ástarsaga, nema hún er vampíra ..og hana þyrstir í blóð. góð saga. krakkarnir tveir sem léku aðalhlutverkin voru að standa sig nokkuð vel. alltaf gaman af góðum myndum frá norðurlöndunum. það er samt frekar magnað hvað vampírustöff er vinsælt núna..."
positive,"mjög góð mynd. nokkuð frumlegt handrit, öðruvísi saga en ég bjóst við. góð spenna. gott action  slatti af töff sprengingum, byssubardögum o.s.frv. flottar og vandaðar tæknibrellur. flott sviðshönnun, búningar, special effects makeup..."
positive,góð mynd. fínustu leikarar. myndir um seinni heimstyrjöldina eru oft spennandi og áhugaverðar. ég las nú ófáar bækur um dönsku mótspyrnuhreyfinguna back in the days...
positive,góð spenna... að vissu leyti klassísk s mynd. ágætt handritplot en nokkuð fyrirsjáanlegt.
positive,gott action. góð spenna. fullt af þekktum leikurum. endirinn er reyndar frekar gallaður...
positive,áhugaverð framtíðarpæling  veit samt ekki hvort það sé spennandi tilhugsun að liggja allan daginn og stýra einhverju vélmenni. ágætt action en meira lagt upp úr spennunni og svona löggan að leysa málið. nokkuð töff tæknibrellur.
positive,mjög fyndin mynd  en dramtísk... kómísk sýn á að höndla það að þurfa hugsa um foreldra sína... afbragðs leikarar.
negative,"hellingur af þekktum leikurum  andlit sem maður kannast við úr ýmsum bíómyndum eða sjónvarpsþáttum... áhugaverð sýn á krakkhverfi og fólkið sem býr þar. það hefði mátt krydda handritið aðeins, vantaði smá fútt í sögurnar..."
positive,ágætist spæjaramynd  nema þetta er um corporate espionage... ágæt spenna. twist and turns... hver er að svíkja hvern..? vantar samt eitthvað... hefði mátt vera meiri adrenalín spenna.
positive,nokkuð fyndin. mikið af silly húmor eins og maður bjóst við...
negative,nett drama með dash af action. vantaði kannski smá upp á handritið...
positive,"mjög fyndin mynd  það hefði nú verið skrítið ef hún hefði ekki verið neitt fyndin ; hellingur af sprenghlægilegum bröndurum. góð saga, gott handrit  en nokkuð löng mynd. hellingur af cameos... þessir gaurar eru greinilega með smá sambönd. slatti af drama, en samt bara passlega, ekki of mikið."
positive,"nokkuð kúl mynd. ágætlega spennandi... alltaf gaman af las vegas glamúr... áhugavert að geta talið spil, maður ætti kannski að prófa það einhvern tíman ;"
positive,"stelpan sem lék sér með eldinn segiru... já, spennandi mynd, en samt ekki jafn góð og fyrri myndin, karlmenn sem hata konur. nokkuð góð saga, temmilega twisted..."
positive,"mjög kúl mynd  leit vel út; umhverfið, áferðin, litirnir... kúl effectar, crank gaurarnir klikka ekki  öll helstu trickin sem maður kannast við hjá þeim; hraðar klippingar, funky sjónarhorn... var alveg að virka, mér fannst það alla vega ekki of mikið. efnislega er hún ekki upp á marga fiska  handritið ekkert alltof bitastætt. en þetta er fínasta afþreying. líka áhugaverð framtíðar pæling  tækni, siðferði og svona... gott action, nóg af kúl byssubardögum, sprengingum og þessu helsta. slatti af þekktum leikurum. michael c. hall aka dexter smellpassar sem svona siðferðislaus gaur."
positive,"mjög fyndin mynd. slatti scary líka, meira scary en ég bjóst við  eða s.s. svona adrenalínscary bú!. nett brútal líka  smá splatterhúmor. góð spenna. hellingur af góðum bröndurum og fyndnum atriðum. kannski ekki fyndnasta mynd ársins eins og einhver sagði, en gott stöff. mér fannst intro grafíkin líka mjög kúl  fólk að detta á stafina og skutlandi þeim í burtu."
negative,ágætlega fyndin. frekar silly. þunnt handrit.
positive,"mjög kúl mynd. góð spenna, heavy action  nóg af sprengingum og öðru tilheyrandi. slatti af mjög flottum atriðum. nokkuð skemmtilegt handrit, áhugavert plot  fersktfrumlegt. gerard butler er badass, bara svalur."
positive,risastór stórslysamynd. mjög spennandi á köflum  klikkaðar tæknibrellur. stundum var þetta eins og mega rússíbani í tívolí  klikkað fjör : virkilega flott tölvugrafík  það var líka nóg af henni. en hún var frekar löng... áhugaverðar pælingar varðandi hvað væri gert ef við vissum að heimurinn væri að farast.
positive,nokkuð fyndin mynd. bull og vitleysa  eins og maður bjóst nú við. will ferrel átti eiginlega besta atriðið.
positive,áhugaverð mynd. svolítið öðruvísi. hæg og smá artý bragur. eiginlega einleikur. leit vel út  flott leikmynd og raunveruleg tölvugrafík.
negative,enn önnur zombie myndin... ágæt spenna. persónurnar ekkert alltof krassandi. hefði mátt vera meira fútt í handritinu. myndin er líklega ekki gerð með mjög mikinn budget. nokkuð darkniðurdrepandivonleysi... definitely not a feelgood movie.
negative,ýmislegt sem kom ekki á óvart... þunnt handrit  stundum eiginlega fáránlegt. lélegur leikur. ágæt spenna á köflum. hellingur af effektum sem hefði örugglega verið kúl að sjá í d bíó. þetta er svona mynd sem maður horfir á þegar maður nennir ekki að gera neitt annað og nennir ekki að leita að neinu öðru hóstþynnkahóst.
negative,fín mynd. nokkrir góðir brandararfyndin atriði. zooey er náttúrulega voða mikið krútt. ekki eins væmin og maður myndi kannski búast við.
positive,"mjög fyndin mynd. einhvern veginn.. lágstemmd grínmynd, nokkuð hæg á köflum  ekkert verið að keyra á endalausum punchlines. fullt af fínum leikurum."
negative,brútal mynd. frekar sjúk eins og við mátti búast. ágætis gorehryllingsmynd. skemmtilegt að sjá bláa lónið og búningsklefana í laugum.
positive,"áhugaverð og fyndin heimildamynd. aðdáunarvert að hafa metnað til að vera ennþá að spila  árum seinna þrátt fyrir að hafa ekki meikað það. nett klikkaðir gaurar. já, hún var alveg sprenghlægileg á köflum  hellingur af gullmolum : áhugavert að fylgjast með baráttu þeirra sem tónlistarmenn."
positive,"ágætis spennumynd. slatti af sprengingum, byssubardögum... þessu helsta. handritið var ekkert alltof bitastætt. leit nokkuð vel út."
positive,"nicolas cage er langbestur þegar hann leikur svona klikkaðar persónur eins og t.d. í faceoff. frekar klikkuð mynd  aðallega af því að megnið af persónunum voru nett klikkaðar. mjög fyndin á köflum, vegna þess hve klikkað liðið var eða s.s. aðallega nicolas cage.  já, svona þrálátir bakverkir geta farið illa í mann..."
positive,"virkilega flott mynd. tæknibrellurnar voru óaðfinnanlegar  ótrúlega raunverulegt. algjör snilld að sjá þetta í d  það er líka alveg nauðsynlegt fyrir þessa mynd. myndatakan var alveg með d í huga, oft eins og maður væri staddur þarna. mögnuð upplifun. ég var að fíla neon rave stemninguna í frumskóginum á nóttunni  mjög kúl. flottur og áhugaverður ævintýraheimur. gott action  lokabardaginn var magnaður, risastór. ég fékk svolítið á tilfinninguna að þetta væri smá ádeila á íraksstríðið  alla vega viss tengsl; ráðast inn á landssvæði út af auðlindum og allt það. d dótið var reyndar stundum eitthvað að klikka, maður var ekki alveg að ná d fókus strax. en það voru kannski bara augun manns að venjast þessu. töff hvernig það var eins og undirtextinn e. subtitles væri svífandi yfir myndinni. gott stöff."
positive,"áhugaverð heimildamynd um tónleika sem hefðu verið rugl flottir. virkilega mikið lagt í að gera showið glæsilegt. áhugavert að fylgjast með michael jackson æfa sig, hvernig hann vinnur..."
positive,létt fjölskyldumynd... fannst íslenska þýðingin skemmtileg: leyndardómar snæfellsjökuls. slatti af effectum sem hefði líklega verið fjör að sjá í d bíó...
negative,ljúf mynd. nokkuð fyndin á köflum.
positive,byggt á sannsögulegum atburðum  eða s.s. bók sem dálkahöfundurinn sem robert downey jr. leikur skrifaði. ágætlega lágstemmd  smá artýindie fílingur... ekta oscar bait. voða mannleg mynd um vináttu...
positive,áhugaverð og skemmtileg heimildamynd. lil wayne er skrautleg persóna... gaman að skyggnast bak við tjöldin.
positive,mjög fyndin. georg var ekki eins leiðinlegurþreytandi og ég hefði alveg búist við. ólafur ragnarpétur jóhann sló náttúrulega í gegn  bara fyndin persóna. slatti af dramatík en ekki eins mikiðyfirþyrmandi og maður hefði búist við miðað við suma vaktarþættina. nokkuð góður endir á söguheimi sem var svona aðeins farinn að þreytast mér fannst fangavaktin engin snilld þótt það væru nokkrir góðir sprettir.
negative,"léttmeti. bjóst nú við heilalausri action mynd... en þetta var kannski aðeins of heilalaust. action atriðin voru ekkert sérstök, ekkert sem maður hefur ekki séð áður. handritið var mjög þunnt  slatti af oneliners sem misstu marks. hellingur af tölvugrafík... stundum var þetta nú ekki alveg nógu vandað, ekki nógu raunverulegteðlilegt. hvað var síðan málið með bílinn sem paul walker var að keyra seinni helminginn, bara ljótur..."
negative,klassísk s mynd  hefði samt örugglega verið skemmtilegra að horfa á hana á tíunda áratugnum. létt grínmynd  engin sprenghlægileg atriði.
positive,ágætis spennumynd. smá dexter dæmi  svona dark passenger...
positive,áhugaverð mynd um klikkaðan forseta. nokkuð gott action og spenna inn á milli.
positive,"sérstök mynd... eiginlega svolítið skrítin. ég held að maður þurfi kannski að horfa á myndina aftur og jafnvel hlusta á commentary hjá leikstjóranum til að fatta betur hvað var nákvæmlega í gangi, púsla þessu saman... þetta er fyrsta myndin sem john august leikstýrir  gaurinn sem skrifaði go. þannig að ég varð að tékka á henni. áhugaverð mynd, fær mann til að hugsa... leit vel út. áhugaverðar persónur..."
positive,virkilega scary mynd... vissulega smá blair witch project fílingur  allt tekið upp með myndavél aðalpersónanna og svona. gaman að horfa á svona öðruvísi myndir. nú vona ég bara að ég nái að sofna ;
positive,"mjög súr mynd. coenbræður eru nú oft með sérstakar myndir með skrítnum persónum en þetta var svona... já, öðruvísi. maður var ekki alveg viss hvert hún var að fara fyrri helminginni. seinni part myndarinnar fóru hlutirnir aðeins meira að gerast. en vel gerð mynd  mjög góð kvikmyndaleg frásögn... fyndið að sjá í lokinn: no jews were harmed in the making of this motion picture."
positive,"hörkugóð mynd. fínasta action og mjög fyndin inn á milli. robert downey jr. er alltaf góður  snillingur í að leika svona wacky persónur. guy ritchie kann alveg að búa til skemmtilegar, flottar og fyndnar spennumyndir. flott myndataka... nokkur ekta guy ritchie atriði. leit mjög vel út  umhverfi, búningar o.s.frv."
positive,fínasta action. handritið var ekki upp á marga fiska en það er kannski ekki nauðsynlegt fyrir svona myndir sem keyra bara á stórum action atriðum. í credit listanum var hávamál nefnt sem eitt af lögunum. ekki viss hvenær það var notað en fannst áhugavert að taka eftir þessu.
positive,áhugaverð saga... nokkuð fyndin á köflum. flott myndataka. ekkert gífurlega uplifting enda er umfjöllunarefnið ekkert mjög hressandi. tónlistin var frekar indiejunoleg.
positive,"kúl mynd. töff áferð á henni, allt frekar brúngráleitt  setti viðeigandi tón fyrir svona eftirheimsendi postapocalytic mynd. denzel eitursvalur eins og venjulega. mjög flott slagsmálaatriði. mila kunis var líka nokkuð kúl  það þarf ekkert að fara nánar út í það hvað hún er fiiine. það er greinilegt að í framtíðinni er bráðnauðsynlegt að eiga flott sólgleraugu ; nokkur skemmtileg product placements  ipod classic sem var ennþá alive and kicking og svo beats by dr. dre heyrnatól  mismunandi týpur. það var nett kúrekastemning  lone drifter walking through town, smábær í eiðimörkinni, barhóruhús sem höfuðstöðvar vonda kallsins..."
negative,"mjög skrítin mynd... handritið var frekar spes. tekin upp með red myndavél, soderbergh er greinilega að fíla red í tætlur."
negative,voða krúttleg og awkward mynd... nokkuð fyndin á köflum. indie bragurlow budget...
positive,mjög áhugaverð heimildamynd um uppruna þessara gengja crips  bloods og stríðið á milli þeirra. meðal annars farið yfir sögu blökkumanna í bandaríkjunum.
positive,hörkuspennandi ævintýramynd. nokkuð formúlukennd og cheesy á köflum. gott goresplatter action í gangi  nokkuð brútal.
negative,"spennandi hryllingsmynd, heldur manni alveg á nálum. enginn stórleikur... frekar dark  twisted eins og flestar myndir sem joel schumacher leikstýrir."
negative,temmilega súr mynd. nóg af þekktum leikurum... ágætlega spaugleg á köflum. söguþráðurinn var samt hálf slappur.
positive,drama alveg í gegn. vel leikin. frekar ruglað hvað stríð geta fokkað upp fjölskyldum...
positive,"fín heilalaus skemmtun  gott handrit er ekkert nauðsynlegt fyrir svona myndir. töff action  góð keyrsla, nánast linnulaust. nóg af íburðamiklum byssubardögum og sprengingum. slatti af klassískum luc besson bílaeltingaleikjum."
negative,elsta kvikmynd sem ég hef horft á. horfði á hana á theauteurs.com. áhugavert að horfa á mynd sem var gerð fyrir meira en  árum. magnaðir special effects í gangi ;
negative,"frekar kjánaleg. nóg af blóði  alveg extreme mikið af blóði að sprautast út um allt, nettur splatter. nóg af action og ninja bardögum sem voru ágætlega kúl. meira supernatural en ég bjóst við. hmm... þetta var leikstýrt af james mcteigue sem leikstýrði líka v for vendetta. honum tókst greinilega ekki alveg nógu vel í þetta skiptið  líklega af því að það voru ekki jafn góðir leikarar og jafn gott handrit. eins og með v þá var þessi mynd líka framleidd af wachowski duoinu og joel silver. maður var alveg að sjá smá matrix effecta í bardögunum..."
positive,"mjög töff mynd. matt damon alveg að virka í svona super soldier hlutverki þetta var samt ekki eins extreme og jason bourne. góð action keyrsla... eltingaleikirnir voru intense  hlaupandi á milli húsa á fullu og myndatökumaðurinn þétt á eftir. mjög flott myndataka. er að fíla svona urban warfare myndir  eins og black hawk down, body of lies o.s.frv. eitthvað spennandi, öðruvísi og ófyrirsjáanlegt við þannig bardaga.   mér fannst umhverfið frekar magnað... mörg skot þar sem sást yfir mjög stórt stríðshrjáð svæði og það var nokkuð impressive. veit ekki hversu miklu var bætt við með tölvugrafík en þetta var ansi trúverðugt. hefði alveg mátt ljúga því að mér að þetta hefði bara verið tekið upp í írak  en þetta var víst tekið upp á spáni og svo í morokkó.   herinn er oft með alls konar kúl tækni... ég var að fíla þyrluna sem flaug yfir borgina og gat greint sjálfkrafa í myrkri hvort einhver væri bandarískur hermaður eða óvinur."
negative,ágætis hryllingsmynd. frekar nasty á köflum.
positive,drama. lífið og allt það. vel leikin.
positive,"voða ljúf mynd. ekki eins væmin og maður gæti búist við. ágætlega fyndin á köflum. veit nú ekki alveg með óskarsleik, en ekki illa leikin  nema kannski litli krakkinn sj, smá ofleikur í gangi. hugljúf fjölskyldumynd."
negative,"nokkuð spennandi. ágætt action inn á milli. samt eitthvað off  kannski handritiðsaganplotið eða leikurinn. eða blanda af bæði. trailerinn var eiginlega flottari, meira púður í honum."
positive,mjög fyndin mynd. eins og við mátti búast var hún mjög silly  eiginlega vitleysa út í gegn. en gott fjör. ekkert brjálæðislega gott handrit eða söguþráður en það er ekkert nauðsynlegt með svona mynd. það var nóg af sprenghlægilegum atriðum.
positive,áhugaverð mynd um líf biggie smalls aka the notorious b.i.g.
