review,sentiment
"Ekki jafn vond og allir segja að hún sé en samt hræðileg á sama tíma. Mér fannst myndin vera nokkuð fyndin og skemmtileg, en ég þurfti að lækka einkunnina vegna þess að margar aðrar vondar myndir eru skárri. Ekki góð mynd en ágætis afþreying.",Negative
"Því miður hefur myndin ekki nógu mikinn efnivið til að vinna með og söguþráðurinn er of ómerkilegur. Myndin er einnig ruglandi og erfitt að átta sig á tengslum karaktera. Bjarni Snæbjörnsson stóð sig best af leikurunum. Alls ekki alslæm mynd en gleymanleg.",Negative
"Alveg öfugt við það sem að gerði upprunalegu svona góða þá er þessi mynd fáránleg og leiðinleg í langflesta staði, það er hægt að hlæja eitthvað af henni og fær fjórar stjörnur fyrir það, draugahúsið er líka ekki nógu góð staðsetning fyrir myndina.",Negative
"Mjög gleymanleg og frekar leiðinleg mynd sem ég átti ekki von á, samt góðir leikarar. Helmingur myndarinnar voru langdregnar spennusenur og leiðinleg atriði um box. Myndin var smá fyndin en samt mikil vonbrigði. Það vantar mestalla sögu og karaktersköpun. ",Negative
"Eftir tvær frábærar myndir kom eitt versta framhald allra tíma. Mamman missir allan fókus og fer hann á leiðinlega ástarsögu Trents. Uppsetningin var leiðinleg og tímafrek. Ég hló samt nokkrum sinnum vegna fáránleika myndarinnar.",Negative
"Mjög fyndin og góð mynd, samt eldast sum grínin ekki vel og sumt í húmornum er frekar barnalegt og hallærislegt. Höfundar eru ekkert að flækja húmorinn sem skýn samt alveg í gegn sem grín af hryllingsmyndum. Ótrúlegt en satt, góð unglingagrínmynd.",Positive
"Þessi mynd fékk alltof litla athygli. Þessi mynd er ein besta grínmynd allra tíma. Ég sem hef ekki einu sinni séð Lethal Weapon, finnst mér samt myndin óborganleg. Myndin kann að vera hröð, hún er stutt svo að allt kemst fyrir í hana á góðum tíma.",Positive
"Rosalega vanmetin mynd sem er næstum því jafn góð og fyrsta myndin. Sögusviðið er spennandi og myndin er ein af sú myndum sem ég hef hlegið hvað mest af. Nielsen fyllir myndina af góðum húmor, góðum leik og væntumhyggju.",Positive
"Langt frá því að vera fullkominn. Það er svolítið af óþarfa senum, þá hefði átt að bæta öðru efni í staðinn. Það að myndin gerist í svarthvítu er góður hlutur en þá tekur maður meiri mark á henni. Samt falleg stríðsmynd sem er þroskasaga lítins drengs.",Positive
"Sögusviðið í myndinni sem er á eyjunni er betra en í fyrstu myndinni. Hoffman og Streisand eru frábærlega fyndin í sínum hlutverkum. Það eru fyndnari grín í þessari og skemmtilegur aukasöguþráður. Þessi mynd er mjög vel heppnað framhald.",Positive
"Alls ekki jafn vond og fólk segir. Samantha sem er bætt við er betri en Lori, þar sem Samantha og John hafa meira sameiginlegt. Það voru margar góðar senur eins og bókasafnssenan og þegar þau flýja í sveitina. Fyrsta myndin er samt betri, væri til í þriðju.",Positive
"Myndin hefur frábæra lokaspennusenu. Söguþráðurinn var góður, hvernig Dundee og Sue búa saman og þau þurfa svo að flýja. Það voru mörg atriði sem ég hélt að væru úr fyrstu myndinni en voru í þessari. Þessar tvær myndir eru næstum jafn góðar.",Positive
"Þrátt fyrir nokkur hallærisleg augnablik þá er þessi mynd besta mynd 2021. Heimsendirinn í myndinni var fallegt augnablik. Þessi mynd inniheldur húmor, drama, tilfinningar og góðan leik. Myndin hefði getað verið styttri vegna nokkura óþarfa atriða.",Positive
"Þau eru að reyna að vera fjölskylduvænni í myndinni og það tekst. Þau reyna meira að segja að hafa spennusenur í sögunni og það tekst líka. Þessi mynd er fyndnari en sú fyrsta með skemmtilega fjölskyldu og hún gerist á fjölbreyttari stöðum.",Positive
"MacFarlane sannar að hann kann líka að gera gott leikið efni. Hugmyndin er góð og svarti húmorinn er geðveikur. Sumt í söguþræðinum var ómerkilegt og hefði samt mátt sleppa. Myndin hefur tilfinnalegt gildi og er einlæg. Alveg ein besta grínmynd seinni tíðar.",Positive
"Það þurfti endilega að gera framhald sem var óþarfi. Manni leið eins og maður var að horfa á fyrstu myndina aftur nema í Bangkok. Samt fyndin og skemmtileg þó að margt vantaði upp á. Teddy sem á að vera venjulegi í myndinni er leiðinlegur.",Positive
"Hogan skýn í gegn í þessari mynd sem sveitastrákur í stórborg. Ég held samt að söguþráðurinn hefði getað verið aðeins áhugaverðari en nostalgían bætir upp fyrir það. Karakter Hogans er það besta við myndina sem gerir hana að frábærri skemmtun.",Positive
"Þessi mynd er spennandi, skemmtileg og örugglega ein besta gamanmynd áttunar. Þrátt fyrir sum barnaleg grín er myndin samt mjög fyndin. Leikurinn í myndinni, hugmyndin og sagan skína í gegn í henni. Hún er samt betri sem spennumynd en grínmynd.",Positive
"Ekkert atriði er í samhengi í þessari mynd en hún er samt alveg frábær. Söguþráðurinn var góður þó að hann sé ekki nýr, Mrs. Doubfire fékk fyrst hugmyndina. Ég hló allavega mikið af myndinni en það er örugglega vegna þess að hún er mikil steypa.",Positive
"Myndin toppar fyrstu myndina rækilega og er fjölbreyttari, fyndnari, steiktari og betur gerð. Karakterinn Ingvar er einn besti karakter Íslandsögunnar og er myndin eitt af bestu íslensku gamanmyndunum. Hún er fullkominn, ekkert vantar.",Positive
"Afþreyingin vantar ekki í myndina og er hún skemmtileg og fyndin þó að það vanti mörg grín, fjármagn og kvikmyndatakan er oft ekki sú besta. Myndin var samt með of mikla eitraða karlmennsku en er samt ein besta íslenska gamanmynd seinni ára.",Positive
"Léttilega fyndnasta gamanmynd allra tíma verð ég að segja. Spennan á milli karakterana, húmorinn og söguþráðurinn er mjög góður og heldur áhorfandinn við efnið léttilega. Held samt að Doug hefði átt að fá fleiri senur. Uppáhalds grínmyndin mín.",Positive
"Þessi mynd er titluð gamanmynd en er í rauninni dramamynd. Myndin hefur ekki að geyma nógu mörg grín, þó að það voru einhver. Mér líkaði við suma parta í myndinni en myndin var framkvæmd illa, en góð hugmynd samt. Myndin er samt frekar falleg.",Positive
